PA,SZ,senior_pop_2025,total_pop_2025,aging_index_2025,senior_pop_2015,senior_pop_2020,senior_growth_rate,infra_count_weighted,infra_density,dist_nearest_hospital_km,dist_nearest_poly_km,demand_supply_ratio,cluster_id,cluster_label,cluster_color
Jurong West,Hong Kah,11890,51270,0.23190949873220207,6640.0,9430,0.05998904664989935,6.0,0.11589723778249951,3.1214032666533362,0.7368840841754507,119.65382192720698,0,Well-Served,#1A7A3C
Jurong West,Jurong West Central,9070,60930,0.14885934679139998,4330.0,6640,0.07674270747601919,5.0,0.08139345596614032,5.169831950753182,3.418007069391761,149.17086486835834,0,Well-Served,#1A7A3C
Jurong West,Taman Jurong,6140,38730,0.15853343661244512,3340.0,4750,0.06277710606103648,10.0,0.2549069589599796,2.8817003051175085,1.9215931889118467,28.810578071551973,0,Well-Served,#1A7A3C
Jurong West,Wenya,1110,8170,0.13586291309669524,490.0,850,0.08520725840349863,1.0,0.11534025374855825,4.963649502112172,2.5548219733884605,12.60495520984155,0,Well-Served,#1A7A3C
Jurong West,Yunnan,11340,65460,0.17323556370302476,5430.0,8270,0.07641891958058045,3.0,0.04548211036992117,5.891072281618268,4.0321741431868405,342.2770809137109,2,Emerging Pressure,#D4A017
Kallang,Bendemeer,8980,38130,0.23551009703645423,5530.0,7580,0.0496756447425557,4.0,0.10354646647683147,1.72844251547577,2.8440141654064224,100.48155142568463,0,Well-Served,#1A7A3C
Kallang,Boon Keng,2970,12100,0.24545454545454545,1920.0,2660,0.044589177642213595,2.0,0.15873015873015872,3.0712633005508683,1.5719911248674026,22.29805133965044,0,Well-Served,#1A7A3C
Kallang,Crawford,2780,7740,0.35917312661498707,2490.0,2650,0.01107773037076809,7.0,0.8495145631067961,2.049694324542668,3.1770489286883734,3.9142177204756683,0,Well-Served,#1A7A3C
Kallang,Geylang Bahru,2860,10300,0.27766990291262134,2350.0,2570,0.01983477580214288,5.0,0.4629629629629629,2.76590195123694,1.847045825523619,7.355276215271028,0,Well-Served,#1A7A3C
Kallang,Kampong Bugis,280,1760,0.1590909090909091,80.0,160,0.13346158167069744,1.0,0.4424778761061947,2.8637093937412725,2.1922666471550722,0.7629412206634674,0,Well-Served,#1A7A3C
Kallang,Kampong Java,2560,10430,0.24544582933844677,2000.0,2260,0.024993230105207598,2.0,0.18298261665141813,0.7018995629820407,3.920339344185914,16.025850861692952,0,Well-Served,#1A7A3C
Kallang,Lavender,2240,10310,0.21726479146459748,1730.0,1940,0.02617207358869411,3.0,0.27752081406105455,1.5446968422723326,3.2915491636331353,9.451842266636481,0,Well-Served,#1A7A3C
Kallang,Tanjong Rhu,2020,11670,0.17309340188517566,1320.0,1630,0.043464657197566536,3.0,0.2465078060805259,3.479700143233773,2.3964484900873497,10.157969991906644,0,Well-Served,#1A7A3C
Mandai,Mandai Estate,380,2200,0.17272727272727273,200.0,270,0.06629005847852576,2.0,0.7407407407407407,1.5208258461066106,2.380170718320705,0.5877295862294425,0,Well-Served,#1A7A3C
Marine Parade,Katong,1890,9700,0.19484536082474227,1390.0,1610,0.03120426458803438,2.0,0.19607843137254904,6.365783640623075,0.7893403364118954,12.84731538022132,0,Well-Served,#1A7A3C
Marine Parade,Marine Parade,6520,27430,0.23769595333576377,5440.0,5920,0.018274503422792243,10.0,0.35803795202291444,6.202405745672907,0.15666125415696974,23.855742542807068,0,Well-Served,#1A7A3C
Marine Parade,Mountbatten,2010,10650,0.18873239436619718,1390.0,1710,0.037571719012738924,3.0,0.26905829596412556,4.959790134439337,1.7624981981027668,9.671348090539352,0,Well-Served,#1A7A3C
Newton,Cairnhill,740,4880,0.15163934426229508,430.0,620,0.05578703944160912,1.0,0.1858736059479554,1.0442058086266934,2.8615371857569154,4.503257870886258,0,Well-Served,#1A7A3C
Newton,Goodwood Park,160,1570,0.10191082802547771,30.0,110,0.18222427548378417,1.0,0.48309178743961345,1.2596251682642172,3.6856756075525174,0.38773835158879855,0,Well-Served,#1A7A3C
Newton,Monk's Hill,120,1250,0.096,70.0,120,0.05537868966683179,0.0,0.0,0.4721503311965508,3.0596104309780467,120.0,0,Well-Served,#1A7A3C
Newton,Orange Grove,460,2200,0.20909090909090908,150.0,290,0.11857898856409044,0.0,0.0,1.7060757774777342,3.16957870235646,460.0,2,Emerging Pressure,#D4A017
Novena,Balestier,7080,32910,0.21513217866909753,5410.0,6230,0.027267620265625014,4.0,0.1197246333433104,0.8083429494574306,3.9804646412118356,67.92935827295696,0,Well-Served,#1A7A3C
Novena,Dunearn,890,4110,0.21654501216545013,650.0,810,0.03192388550488201,4.0,0.8676789587852494,2.7796617429112254,4.6619080281928085,1.3098080172291244,0,Well-Served,#1A7A3C
